attempt=4
returncode=1
elapsed_sec=8.44

STDOUT:
Epoch 1/100, Train Loss: 47569.5785, Val Loss: 43089.3826
Epoch 2/100, Train Loss: 46618.6728, Val Loss: 42143.7953
Epoch 3/100, Train Loss: 45496.3433, Val Loss: 40972.6002
Epoch 4/100, Train Loss: 44009.7853, Val Loss: 39559.5414
Epoch 5/100, Train Loss: 42356.5906, Val Loss: 37729.8786
Epoch 6/100, Train Loss: 40162.2098, Val Loss: 35458.8814
Epoch 7/100, Train Loss: 37560.8744, Val Loss: 32709.1218
Epoch 8/100, Train Loss: 34327.5509, Val Loss: 29615.8911
Epoch 9/100, Train Loss: 30766.7698, Val Loss: 26203.2159
Epoch 10/100, Train Loss: 27013.9944, Val Loss: 22757.7247
Epoch 11/100, Train Loss: 23454.5532, Val Loss: 19628.1944
Epoch 12/100, Train Loss: 20317.2732, Val Loss: 17055.2464
Epoch 13/100, Train Loss: 17937.8426, Val Loss: 15230.1533
Epoch 14/100, Train Loss: 16294.5975, Val Loss: 14249.1389
Epoch 15/100, Train Loss: 15584.2005, Val Loss: 13817.8923
Epoch 16/100, Train Loss: 15234.5326, Val Loss: 13725.5353
Epoch 17/100, Train Loss: 15209.9459, Val Loss: 13702.4348
Epoch 18/100, Train Loss: 15231.9136, Val Loss: 13686.7438
Epoch 19/100, Train Loss: 15186.3338, Val Loss: 13636.3381
Epoch 20/100, Train Loss: 15144.1752, Val Loss: 13596.6176
Epoch 21/100, Train Loss: 15112.3734, Val Loss: 13574.8911
Epoch 22/100, Train Loss: 15086.1883, Val Loss: 13587.2332
Epoch 23/100, Train Loss: 15068.1774, Val Loss: 13551.8954
Epoch 24/100, Train Loss: 15019.1623, Val Loss: 13466.9399
Epoch 25/100, Train Loss: 14986.2984, Val Loss: 13424.9665
Epoch 26/100, Train Loss: 14950.4830, Val Loss: 13406.6612
Epoch 27/100, Train Loss: 14914.7152, Val Loss: 13376.1662
Epoch 28/100, Train Loss: 14883.1517, Val Loss: 13337.2836
Epoch 29/100, Train Loss: 14839.2682, Val Loss: 13306.2391
Epoch 30/100, Train Loss: 14815.7510, Val Loss: 13281.8865
Epoch 31/100, Train Loss: 14788.3089, Val Loss: 13220.8900
Epoch 32/100, Train Loss: 14730.8234, Val Loss: 13178.3564
Epoch 33/100, Train Loss: 14705.8782, Val Loss: 13160.3483
Epoch 34/100, Train Loss: 14656.7971, Val Loss: 13116.0887
