attempt=2
returncode=0
elapsed_sec=9.87

STDOUT:
Epoch 001, Loss: 1.3042, Val Macro F1: 0.3305
Epoch 002, Loss: 1.2745, Val Macro F1: 0.3322
Epoch 003, Loss: 1.2453, Val Macro F1: 0.3401
Epoch 004, Loss: 1.2221, Val Macro F1: 0.3465
Epoch 005, Loss: 1.1996, Val Macro F1: 0.3520
Epoch 006, Loss: 1.1813, Val Macro F1: 0.3543
Epoch 007, Loss: 1.1602, Val Macro F1: 0.3541
Epoch 008, Loss: 1.1493, Val Macro F1: 0.3544
Epoch 009, Loss: 1.1344, Val Macro F1: 0.3552
Epoch 010, Loss: 1.1261, Val Macro F1: 0.3556
Epoch 011, Loss: 1.1190, Val Macro F1: 0.3561
Epoch 012, Loss: 1.1119, Val Macro F1: 0.3559
Epoch 013, Loss: 1.1007, Val Macro F1: 0.3559
Epoch 014, Loss: 1.0947, Val Macro F1: 0.3555
Epoch 015, Loss: 1.0905, Val Macro F1: 0.3555
Epoch 016, Loss: 1.0864, Val Macro F1: 0.3566
Epoch 017, Loss: 1.0819, Val Macro F1: 0.3575
Epoch 018, Loss: 1.0797, Val Macro F1: 0.3606
Epoch 019, Loss: 1.0767, Val Macro F1: 0.3611
Epoch 020, Loss: 1.0705, Val Macro F1: 0.3616
Epoch 021, Loss: 1.0680, Val Macro F1: 0.3620
Epoch 022, Loss: 1.0642, Val Macro F1: 0.3634
Epoch 023, Loss: 1.0659, Val Macro F1: 0.3664
Epoch 024, Loss: 1.0632, Val Macro F1: 0.3688
Epoch 025, Loss: 1.0611, Val Macro F1: 0.3737
Epoch 026, Loss: 1.0584, Val Macro F1: 0.3774
Epoch 027, Loss: 1.0615, Val Macro F1: 0.3811
Epoch 028, Loss: 1.0549, Val Macro F1: 0.3830
Epoch 029, Loss: 1.0530, Val Macro F1: 0.3877
Epoch 030, Loss: 1.0497, Val Macro F1: 0.3902
Epoch 031, Loss: 1.0524, Val Macro F1: 0.3898
Epoch 032, Loss: 1.0456, Val Macro F1: 0.3897
Epoch 033, Loss: 1.0497, Val Macro F1: 0.3886
Epoch 034, Loss: 1.0442, Val Macro F1: 0.3879
Epoch 035, Loss: 1.0421, Val Macro F1: 0.3850
Epoch 036, Loss: 1.0424, Val Macro F1: 0.3820
Epoch 037, Loss: 1.0467, Val Macro F1: 0.3805
Epoch 038, Loss: 1.0403, Val Macro F1: 0.3779
Epoch 039, Loss: 1.0418, Val Macro F1: 0.3767
Epoch 040, Loss: 1.0379, Val Macro F1: 0.3744
Early stopping triggered.
Submission file generated successfully.


STDERR:

