attempt=3
returncode=0
elapsed_sec=25.38

STDOUT:
Epoch 1/100, Loss: 3.9511, Val Acc: 0.4231, Val Macro-F1: 0.2626
Epoch 2/100, Loss: 2.6982, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 3/100, Loss: 2.3523, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 4/100, Loss: 1.7661, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 5/100, Loss: 1.6351, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 6/100, Loss: 1.7273, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 7/100, Loss: 2.1151, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 8/100, Loss: 1.8574, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 9/100, Loss: 1.5639, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 10/100, Loss: 1.6035, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 11/100, Loss: 1.8348, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 12/100, Loss: 1.5311, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 13/100, Loss: 1.8096, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 14/100, Loss: 1.6655, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 15/100, Loss: 1.7425, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 16/100, Loss: 1.4575, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 17/100, Loss: 1.3661, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 18/100, Loss: 1.4917, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 19/100, Loss: 1.4488, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 20/100, Loss: 1.3567, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 21/100, Loss: 1.6647, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 22/100, Loss: 1.3105, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 23/100, Loss: 1.6176, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 24/100, Loss: 1.3442, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 25/100, Loss: 1.3861, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 26/100, Loss: 1.4066, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 27/100, Loss: 1.5811, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 28/100, Loss: 1.5686, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 29/100, Loss: 1.5280, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 30/100, Loss: 1.5077, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 31/100, Loss: 1.4308, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 32/100, Loss: 1.2361, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 33/100, Loss: 1.3825, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 34/100, Loss: 1.2304, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 35/100, Loss: 1.6890, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 36/100, Loss: 1.3926, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 37/100, Loss: 1.3593, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 38/100, Loss: 1.2859, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 39/100, Loss: 1.7305, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 40/100, Loss: 1.0720, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 41/100, Loss: 1.6526, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 42/100, Loss: 1.2588, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 43/100, Loss: 1.3625, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 44/100, Loss: 1.1997, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 45/100, Loss: 1.2448, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 46/100, Loss: 1.2120, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 47/100, Loss: 1.4958, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 48/100, Loss: 1.3534, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 49/100, Loss: 1.2147, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 50/100, Loss: 1.3451, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 51/100, Loss: 1.2937, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 52/100, Loss: 1.2613, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 53/100, Loss: 1.3964, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 54/100, Loss: 1.7167, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 55/100, Loss: 1.4883, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 56/100, Loss: 1.1195, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 57/100, Loss: 1.2496, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 58/100, Loss: 1.2047, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 59/100, Loss: 1.3618, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 60/100, Loss: 1.1925, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 61/100, Loss: 1.5029, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 62/100, Loss: 1.6243, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 63/100, Loss: 1.2840, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 64/100, Loss: 1.3097, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 65/100, Loss: 1.1574, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 66/100, Loss: 1.5130, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 67/100, Loss: 1.0237, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 68/100, Loss: 1.1751, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 69/100, Loss: 1.2416, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 70/100, Loss: 0.9988, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 71/100, Loss: 1.2420, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 72/100, Loss: 1.3143, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 73/100, Loss: 0.9982, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 74/100, Loss: 1.1242, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 75/100, Loss: 1.0334, Val Acc: 0.4615, Val Macro-F1: 0.2704
Epoch 76/100, Loss: 1.4083, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 77/100, Loss: 0.9716, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 78/100, Loss: 1.0558, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 79/100, Loss: 1.0778, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 80/100, Loss: 1.3467, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 81/100, Loss: 0.8065, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 82/100, Loss: 1.1000, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 83/100, Loss: 1.0629, Val Acc: 0.4615, Val Macro-F1: 0.2704
Epoch 84/100, Loss: 1.0921, Val Acc: 0.4615, Val Macro-F1: 0.2704
Epoch 85/100, Loss: 0.9846, Val Acc: 0.4615, Val Macro-F1: 0.2704
Epoch 86/100, Loss: 1.1434, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 87/100, Loss: 1.2042, Val Acc: 0.4231, Val Macro-F1: 0.2571
Epoch 88/100, Loss: 1.3226, Val Acc: 0.4615, Val Macro-F1: 0.3173
Epoch 89/100, Loss: 1.0742, Val Acc: 0.4231, Val Macro-F1: 0.1982
Epoch 90/100, Loss: 1.0619, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 91/100, Loss: 1.2499, Val Acc: 0.3462, Val Macro-F1: 0.1714
Epoch 92/100, Loss: 1.2864, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 93/100, Loss: 1.0232, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 94/100, Loss: 1.2330, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 95/100, Loss: 1.0200, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 96/100, Loss: 0.9257, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 97/100, Loss: 1.0930, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 98/100, Loss: 0.9657, Val Acc: 0.4615, Val Macro-F1: 0.3173
Epoch 99/100, Loss: 0.9200, Val Acc: 0.3846, Val Macro-F1: 0.1852
Epoch 100/100, Loss: 0.9665, Val Acc: 0.4231, Val Macro-F1: 0.2571


STDERR:

