attempt=2
returncode=0
elapsed_sec=20.80

STDOUT:
Epoch: 001, Loss: 0.7439, Val F1: 0.5652, Val Acc: 0.5238, Val Prec: 0.4483, Val Rec: 0.7647
Epoch: 002, Loss: 3.0916, Val F1: 0.3571, Val Acc: 0.5714, Val Prec: 0.4545, Val Rec: 0.2941
Epoch: 003, Loss: 1.1343, Val F1: 0.1739, Val Acc: 0.5476, Val Prec: 0.3333, Val Rec: 0.1176
Epoch: 004, Loss: 3.0315, Val F1: 0.1111, Val Acc: 0.6190, Val Prec: 1.0000, Val Rec: 0.0588
Epoch: 005, Loss: 1.2970, Val F1: 0.3333, Val Acc: 0.5238, Val Prec: 0.3846, Val Rec: 0.2941
Epoch: 006, Loss: 1.7506, Val F1: 0.5500, Val Acc: 0.5714, Val Prec: 0.4783, Val Rec: 0.6471
Epoch: 007, Loss: 2.2764, Val F1: 0.5500, Val Acc: 0.5714, Val Prec: 0.4783, Val Rec: 0.6471
Epoch: 008, Loss: 2.0760, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 009, Loss: 1.7017, Val F1: 0.1905, Val Acc: 0.5952, Val Prec: 0.5000, Val Rec: 0.1176
Epoch: 010, Loss: 1.0780, Val F1: 0.0909, Val Acc: 0.5238, Val Prec: 0.2000, Val Rec: 0.0588
Epoch: 011, Loss: 1.2899, Val F1: 0.1667, Val Acc: 0.5238, Val Prec: 0.2857, Val Rec: 0.1176
Epoch: 012, Loss: 1.5425, Val F1: 0.2400, Val Acc: 0.5476, Val Prec: 0.3750, Val Rec: 0.1765
Epoch: 013, Loss: 1.2419, Val F1: 0.5405, Val Acc: 0.5952, Val Prec: 0.5000, Val Rec: 0.5882
Epoch: 014, Loss: 0.7578, Val F1: 0.5581, Val Acc: 0.5476, Val Prec: 0.4615, Val Rec: 0.7059
Epoch: 015, Loss: 0.9758, Val F1: 0.5581, Val Acc: 0.5476, Val Prec: 0.4615, Val Rec: 0.7059
Epoch: 016, Loss: 1.0788, Val F1: 0.5556, Val Acc: 0.6190, Val Prec: 0.5263, Val Rec: 0.5882
Epoch: 017, Loss: 0.7170, Val F1: 0.2727, Val Acc: 0.6190, Val Prec: 0.6000, Val Rec: 0.1765
Epoch: 018, Loss: 0.9236, Val F1: 0.2727, Val Acc: 0.6190, Val Prec: 0.6000, Val Rec: 0.1765
Epoch: 019, Loss: 0.6754, Val F1: 0.2609, Val Acc: 0.5952, Val Prec: 0.5000, Val Rec: 0.1765
Epoch: 020, Loss: 0.7987, Val F1: 0.2500, Val Acc: 0.5714, Val Prec: 0.4286, Val Rec: 0.1765
Epoch: 021, Loss: 0.7881, Val F1: 0.4286, Val Acc: 0.6190, Val Prec: 0.5455, Val Rec: 0.3529
Epoch: 022, Loss: 0.4133, Val F1: 0.5556, Val Acc: 0.6190, Val Prec: 0.5263, Val Rec: 0.5882
Epoch: 023, Loss: 0.6382, Val F1: 0.5556, Val Acc: 0.6190, Val Prec: 0.5263, Val Rec: 0.5882
Epoch: 024, Loss: 0.5501, Val F1: 0.5714, Val Acc: 0.6429, Val Prec: 0.5556, Val Rec: 0.5882
Epoch: 025, Loss: 0.4214, Val F1: 0.4615, Val Acc: 0.6667, Val Prec: 0.6667, Val Rec: 0.3529
Epoch: 026, Loss: 0.4660, Val F1: 0.3200, Val Acc: 0.5952, Val Prec: 0.5000, Val Rec: 0.2353
Epoch: 027, Loss: 0.3637, Val F1: 0.3333, Val Acc: 0.6190, Val Prec: 0.5714, Val Rec: 0.2353
Epoch: 028, Loss: 0.3574, Val F1: 0.3077, Val Acc: 0.5714, Val Prec: 0.4444, Val Rec: 0.2353
Epoch: 029, Loss: 0.4398, Val F1: 0.5000, Val Acc: 0.6667, Val Prec: 0.6364, Val Rec: 0.4118
Epoch: 030, Loss: 0.3843, Val F1: 0.5625, Val Acc: 0.6667, Val Prec: 0.6000, Val Rec: 0.5294
Epoch: 031, Loss: 0.4046, Val F1: 0.6061, Val Acc: 0.6905, Val Prec: 0.6250, Val Rec: 0.5882
Epoch: 032, Loss: 0.4515, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 033, Loss: 0.2813, Val F1: 0.5185, Val Acc: 0.6905, Val Prec: 0.7000, Val Rec: 0.4118
Epoch: 034, Loss: 0.3563, Val F1: 0.3200, Val Acc: 0.5952, Val Prec: 0.5000, Val Rec: 0.2353
Epoch: 035, Loss: 0.3609, Val F1: 0.4286, Val Acc: 0.6190, Val Prec: 0.5455, Val Rec: 0.3529
Epoch: 036, Loss: 0.3210, Val F1: 0.4286, Val Acc: 0.6190, Val Prec: 0.5455, Val Rec: 0.3529
Epoch: 037, Loss: 0.3198, Val F1: 0.4444, Val Acc: 0.6429, Val Prec: 0.6000, Val Rec: 0.3529
Epoch: 038, Loss: 0.3539, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 039, Loss: 0.2862, Val F1: 0.7273, Val Acc: 0.7857, Val Prec: 0.7500, Val Rec: 0.7059
Epoch: 040, Loss: 0.3032, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 041, Loss: 0.2210, Val F1: 0.4444, Val Acc: 0.6429, Val Prec: 0.6000, Val Rec: 0.3529
Epoch: 042, Loss: 0.1619, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 043, Loss: 0.1731, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 044, Loss: 0.2422, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 045, Loss: 0.1636, Val F1: 0.5185, Val Acc: 0.6905, Val Prec: 0.7000, Val Rec: 0.4118
Epoch: 046, Loss: 0.1935, Val F1: 0.3846, Val Acc: 0.6190, Val Prec: 0.5556, Val Rec: 0.2941
Epoch: 047, Loss: 0.2129, Val F1: 0.3846, Val Acc: 0.6190, Val Prec: 0.5556, Val Rec: 0.2941
Epoch: 048, Loss: 0.1749, Val F1: 0.3846, Val Acc: 0.6190, Val Prec: 0.5556, Val Rec: 0.2941
Epoch: 049, Loss: 0.1313, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 050, Loss: 0.1259, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 051, Loss: 0.1953, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 052, Loss: 0.1093, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 053, Loss: 0.1646, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 054, Loss: 0.1441, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 055, Loss: 0.1735, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
